Ticker,8/10/2022 21:00,8/10/2022 22:00,8/10/2022 23:00,8/11/2022 0:00,8/11/2022 1:00,8/11/2022 2:00,8/11/2022 3:00,8/11/2022 4:00,8/11/2022 5:00,8/11/2022 6:00,8/11/2022 7:00,8/11/2022 8:00,8/11/2022 9:00,8/11/2022 10:00,8/11/2022 11:00,8/11/2022 12:00,8/11/2022 13:00,8/11/2022 14:00,8/11/2022 15:00,8/11/2022 16:00,8/11/2022 17:00,8/11/2022 18:00,8/11/2022 19:00,8/11/2022 20:00,8/11/2022 21:00,8/11/2022 22:00,8/11/2022 23:00,8/12/2022 0:00,8/12/2022 1:00,8/12/2022 2:00,8/12/2022 3:00,8/12/2022 4:00,8/12/2022 5:00,8/12/2022 6:00,8/12/2022 7:00,8/12/2022 8:00,8/12/2022 9:00,8/12/2022 10:00,8/12/2022 11:00,8/12/2022 12:00,8/12/2022 13:00,8/12/2022 14:00,8/12/2022 15:00,8/12/2022 16:00,8/12/2022 17:00,8/12/2022 18:00,8/12/2022 19:00,8/12/2022 20:00,8/12/2022 21:00,8/12/2022 22:00,8/12/2022 23:00,8/13/2022 0:00,8/13/2022 1:00,8/13/2022 2:00,8/13/2022 3:00,8/13/2022 4:00,8/13/2022 5:00,8/13/2022 6:00,8/13/2022 7:00,8/13/2022 8:00,8/13/2022 9:00,8/13/2022 10:00,8/13/2022 11:00,8/13/2022 12:00,8/13/2022 13:00,8/13/2022 14:00,8/13/2022 15:00,8/13/2022 16:00,8/13/2022 17:00,8/13/2022 18:00,8/13/2022 19:00,8/13/2022 20:00,8/13/2022 21:00,8/13/2022 22:00,8/13/2022 23:00,8/14/2022 0:00,8/14/2022 1:00,8/14/2022 2:00,8/14/2022 3:00,8/14/2022 4:00,8/14/2022 5:00,8/14/2022 6:00,8/14/2022 7:00,8/14/2022 8:00,8/14/2022 9:00,8/14/2022 10:00,8/14/2022 11:00,8/14/2022 12:00,8/14/2022 13:00,8/14/2022 14:00,8/14/2022 15:00,8/14/2022 16:00,8/14/2022 17:00,8/14/2022 18:00,8/14/2022 19:00,8/14/2022 20:00,8/14/2022 21:00,8/14/2022 22:00,8/14/2022 23:00,8/15/2022 0:00,8/15/2022 1:00,8/15/2022 2:00,8/15/2022 3:00,8/15/2022 4:00,8/15/2022 5:00,8/15/2022 6:00,8/15/2022 7:00,8/15/2022 8:00,8/15/2022 9:00,8/15/2022 10:00,8/15/2022 11:00,8/15/2022 12:00,8/15/2022 13:00,8/15/2022 14:00,8/15/2022 15:00,8/15/2022 16:00,8/15/2022 17:00,8/15/2022 18:00,8/15/2022 19:00,8/15/2022 20:00,8/15/2022 21:00,8/15/2022 22:00,8/15/2022 23:00,8/16/2022 0:00,8/16/2022 1:00,8/16/2022 2:00,8/16/2022 3:00,8/16/2022 4:00,8/16/2022 5:00,8/16/2022 6:00,8/16/2022 7:00,8/16/2022 8:00,8/16/2022 9:00,8/16/2022 10:00,8/16/2022 11:00,8/16/2022 12:00,8/16/2022 13:00,8/16/2022 14:00,8/16/2022 15:00,8/16/2022 16:00,8/16/2022 17:00,8/16/2022 18:00,8/16/2022 19:00,8/16/2022 20:00,8/16/2022 21:00,8/16/2022 22:00,8/16/2022 23:00,8/17/2022 0:00,8/17/2022 1:00,8/17/2022 2:00,8/17/2022 3:00,8/17/2022 4:00,8/17/2022 5:00,8/17/2022 6:00,8/17/2022 7:00,8/17/2022 8:00,8/17/2022 9:00,8/17/2022 10:00,8/17/2022 11:00,8/17/2022 12:00,8/17/2022 13:00,8/17/2022 14:00,8/17/2022 15:00,8/17/2022 16:00,8/17/2022 17:00,8/17/2022 18:00,8/17/2022 19:00,8/17/2022 20:00,8/17/2022 21:00,8/17/2022 22:00,8/17/2022 23:00,8/18/2022 0:00,8/18/2022 1:00,8/18/2022 2:00,8/18/2022 3:00,8/18/2022 4:00,8/18/2022 5:00,8/18/2022 6:00,8/18/2022 7:00,8/18/2022 8:00,8/18/2022 9:00,8/18/2022 10:00,8/18/2022 11:00,8/18/2022 12:00,8/18/2022 13:00,8/18/2022 14:00,8/18/2022 15:00,8/18/2022 16:00,8/18/2022 17:00,8/18/2022 18:00,8/18/2022 19:00,8/18/2022 20:00,8/18/2022 21:00
JPOW,0.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPY,9.0,11.0,10.0,22.0,13.0,13.0,7.0,11.0,6.0,4.0,4.0,3.0,9.0,1.0,5.0,8.0,20.0,35.0,24.0,30.0,21.0,30.0,34.0,17.0,10.0,7.0,13.0,11.0,14.0,8.0,5.0,6.0,9.0,9.0,4.0,1.0,4.0,6.0,3.0,4.0,15.0,27.0,18.0,15.0,11.0,34.0,34.0,26.0,20.0,7.0,12.0,10.0,11.0,4.0,3.0,4.0,5.0,8.0,2.0,1.0,0.0,2.0,1.0,7.0,5.0,10.0,3.0,3.0,4.0,6.0,7.0,3.0,3.0,5.0,5.0,2.0,3.0,5.0,1.0,6.0,1.0,4.0,4.0,0.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,3.0,5.0,3.0,6.0,6.0,8.0,6.0,3.0,10.0,5.0,3.0,4.0,4.0,2.0,1.0,3.0,7.0,1.0,7.0,7.0,10.0,13.0,12.0,19.0,28.0,20.0,9.0,20.0,6.0,7.0,13.0,13.0,9.0,8.0,5.0,6.0,2.0,5.0,2.0,3.0,1.0,1.0,1.0,4.0,12.0,9.0,11.0,6.0,6.0,7.0,20.0,9.0,7.0,3.0,7.0,6.0,5.0,7.0,4.0,7.0,5.0,4.0,2.0,5.0,5.0,5.0,10.0,10.0,15.0,12.0,13.0,12.0,24.0,27.0,21.0,13.0,6.0,6.0,2.0,3.0,9.0,10.0,13.0,8.0,8.0,7.0,5.0,4.0,0.0,6.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMC,4.0,5.0,2.0,2.0,7.0,6.0,6.0,6.0,4.0,3.0,1.0,1.0,1.0,0.0,10.0,7.0,4.0,6.0,9.0,5.0,5.0,7.0,27.0,3.0,9.0,2.0,11.0,3.0,8.0,6.0,5.0,12.0,5.0,3.0,1.0,1.0,7.0,2.0,13.0,7.0,15.0,13.0,11.0,5.0,10.0,7.0,11.0,5.0,7.0,7.0,6.0,2.0,4.0,5.0,3.0,8.0,5.0,2.0,0.0,3.0,2.0,6.0,3.0,5.0,7.0,7.0,2.0,5.0,3.0,2.0,6.0,5.0,4.0,2.0,3.0,2.0,5.0,2.0,3.0,6.0,4.0,2.0,20.0,12.0,30.0,31.0,31.0,18.0,21.0,18.0,26.0,25.0,12.0,12.0,9.0,14.0,17.0,11.0,8.0,4.0,5.0,5.0,9.0,7.0,5.0,3.0,0.0,4.0,4.0,7.0,6.0,7.0,15.0,17.0,19.0,10.0,4.0,17.0,10.0,22.0,19.0,19.0,10.0,18.0,8.0,10.0,13.0,9.0,13.0,4.0,2.0,5.0,2.0,4.0,5.0,8.0,11.0,6.0,6.0,5.0,8.0,8.0,0.0,7.0,1.0,10.0,8.0,4.0,6.0,7.0,8.0,18.0,13.0,6.0,7.0,2.0,8.0,6.0,5.0,8.0,14.0,10.0,8.0,10.0,7.0,11.0,9.0,13.0,6.0,11.0,4.0,4.0,12.0,9.0,8.0,9.0,5.0,6.0,11.0,4.0,4.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTFO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BABA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETF,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,4.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THAT,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,3.0,2.0,1.0,4.0,1.0,3.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,5.0,1.0,1.0,3.0,5.0,7.0,7.0,8.0,1.0,4.0,3.0,2.0,2.0,2.0,4.0,0.0,0.0,3.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUSK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QQQ,0.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,10.0,10.0,3.0,3.0,6.0,2.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,4.0,1.0,4.0,9.0,5.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,4.0,2.0,0.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
